UNK 101011
social 1001010011111110101100110010001111100101001100110001110111101100101101001101101111100100101
given 100101110000000011110110000010001110000010001111011
several 100101111110110111111111001100101001010
children 1001010110111010001100011011111011011110110101100111100011001001111111101011110
order 100101100110011110111000010000101000101100101101110100000111111001011011110001110110000011010011011000011100101000110101000
national 100101001110111101011010110111000000111100101001110101010110111010000101110100001
four 101111001001100110111111010100101110111
possible 10010011100010000001101001100101011000001000111000
rather 10000011011000100001010010
second 101111000111000000010
face 0101111010111010001010101101110111001111111000101000011000110011
per 10010100100110001011101111010010001111111001111011001010100011100001011010010001110110011000111101001000110110100111100100
important 1001001100011010001000001000001110011011
often 1001001100111110101101111000110100011111010000110110001110100001111110
among 10010100100110000100101010110111110101000101000110001111100011111000001101010000110000110110010101010001000000
things 01110010001011101011110110011100100
looked 01011101011011000110111000110000101110000010001111011
early 1001010001110101111100111011110100100100011000100110111101110
white 010111111100100000110010111001010111110011000111011101010110111000111111100101
case 10010100100111111100110111101001001010100110101000000110110010101001000011000110110111001
large 1001010010011010111111100100011010111010011110010100111011101010100101100111
big 010110100011000111000000001111011000000010010100100011000
become 100101001001111000011010001111100110100011010101111010001101010000110
need 1110100000100100110010001111111011110
within 1001010010011001100100110100111010010011101011011101111010101000010010
felt 0111001001111101101100111101000
along 010100011111001101001010000111000110001101000100110000
god 1001000101000010001111010100111011010000010101001100011010011111011010
saw 01011110101110100010101011011101110011111110001010000110001101
best 10010011100010000001101001100101011000001000111001
church 10010100111111101011001100100011111001010011001100011101111011001011010011011011111001001110
ever 10000001001011
least 101110100101100100
power 10010100111000000100110001001111110001000100010011000110100001111
country 100101001100111101111011001000111001101001001010000100101010011110011101101
development 10010100100111111100110111101001001010100110101000000110110010101001000011000110110111100
light 0101111101110100001001011011011001010101011011010010011110010011110001011
seemed 011100111111110101000111000000111000101001011001110110010001111
thing 000100111010010000000101100010100001111110011010000
family 10010100111111101011001100100011111001010011001100011101111011001011010011011011111001001111
interest 10010100100111111010010101000100010011100011111011100100011110011111001101000101101
want 00010011010111101000101111111
help 100000100111010011010101111010101110000110110
members 1001010011111110101100110010001111100101001100110001110111101100101101001101101111100100110
mind 100100010000010100100101100110100010110000111100010111100000
today 1001011110010111101001001000111000111001111101000010010101110101
area 100101001001100110010011010011101001001110101101110111101010100001000
five 101111001001100110111111010100101110100
others 100101110100011011010111110010
turned 010111010010110111100110100010100111011011000011010110111
done 01110010001011101011110110011100101
although 101101111101101101101000100110010110111111
open 0101110101001000010010011101001000011101000010001011001110001000011
company 1001010011100101011010010000000110001001011001000010110101011011111100001100010011010110001011111001110110100011010110010001
service 10010100100110000100101010110111110101000101000110001111100011111000001101010000110000110110010101010001000001
kind 10000100011000001010011101101000110101010110011011111000000000
problem 1001010010010010101110001110110111011000111100000100111010010010010111111110
began 1010100011110000000110100011101011101001001001100000110000101000
certain 100101110000000011110110000010001110000010001110001
door 0101110101001000010010011101001000011101000010001011001110001000010
thus 10010110011001111011100001000010100010110010110111010000011111100101101111000111011000001101001101100001110010100011010101
different 10010111000111010110001101110101001000011101110110000111001
sense 1001000110011110000010000101101110100011011111010011000011010101100001101000
means 100101001001010111000001111000101011100001001111001111001100011100110000111
whole 1001010010011111100011110001100010101100101100100010000000101010110010011010010101
matter 1000011101000110000101111000100100110011000010
perhaps 100100110001101000100000100000111001100
itself 100100010000010100100101100110100010110000111100010111100001
york 101111100010110011110010111101000100000100111101100111101111000000001000001
times 100101111110110111111111001100101001011
human 100100010101000100110110010001101111010101101000100
law 10010100100111111100110111101001001010100110101000000110110010101001000011000011101111100110
line 1001011001100111101110000100001010001011001011011101000001111110010110111100011101100000110100110110000111001010001101011
above 1001010010011000101110111101001000111111100111101100101010001110000101101001000111011001100011110100100011011010011110011
name 1001000101000010001111010100111011010000010101001100011010011111011011
example 10010101001
action 10010001010100010011011001000110111101010110100011
hands 0100110111010111101101010011100001000101111111011100001001010110010
u 100101100110011110111000011
local 1001010010011111110011011110100100101010011010100000011011001010100100001100001110111110010
show 1001101100010101111001000100001100011100000110000110110100101010101101010111110
history 10010100111011110101101011011100000011110010100111010101011011101000010111010001
gave 100100010100001000111101010011101101000001010100110001101001111101100
whether 10010100100111111111011
either 1001010010011111111100
act 10010100100111111100110111101001001010100110101000000110110010101001000011000110110111110
feet 010000001100111010000111011000001110000110010100111110101001100110000101111
across 010111010110110001101110001100001011100000100011110000
past 100101000100000100101001011100111001100011010101011001111001111001111
quite 10010111000111010110001101110101001000011101110110000111000
taken 100101001100111101111011001000111001101001001010000100101010011110011101100
anything 011100100101100001111111101110
having 10010001101010001000010000100101
seen 1000000100100
death 1001000101010001001101100100011011110101011010000
body 0100110111010111101101010011100001000101111111011100001001010110011
experience 100101110000000011110110000010001110000010001110000
really 0111010100101010001101100010101100110000010110100000001101111011101110
week 101111111110010001001110111010111101011001
car 01011101000100100010100101110001011011111001010101000001110110101011010011
half 10111100011100000000
word 1001011010101110010111000101111101011111011100111100111000101000001000
words 10010001000001010010010110011010001011000011110001011110001
already 10011011010000100110000001101001000001100110011110100001011100011100010
field 010111010110110001101110001100001011100000100011110001
themselves 1000010100001010
information 10010110111011100001010010101000111110101011101011100101110100000110
shall 10010100100111111100110111101001001010100110101000000110110010101001000011000110110111010
tell 000100110101111010001011110
college 100101011011101000110001101111101101111011010110011110001100100111111110101110
together 0100001011100011011101100110101111101101011111111101001111100000011101100001110
money 1110100000100100110010001111111011111
period 100101000111010111110011101111010010010001100010011011110110
held 10011011010000100110000001101001000001100110011110100001011100011100011
keep 10111111111001000100111011101011110101110110
sure 0001011111111100100101001
known 10010011100010000001101001100101011000001000111011
probably 1001010011101111010110101101110000001111001010011101010101101110100001011101011111
c 100101100110011110111000010000101000101100101101110100000111111001011011110001110110000011010011011000011100101000111
free 1001010011100000010011000100111111000100010001001100011010000110
seems 100001110100011000010111100010010011001100000
behind 011100010011010011100011001100100101
boy 101100011110000001001010000111000100110111101011100
cannot 1001000110101000100001000010011
political 10010100111111101011001100100011111001010011001100011101111011001011010011011011111001000
real 1001000110011110000010000101101110100011011111010011000011010101100001101001
air 100110110110100100011110010011010001010010100100010101010011111001111011000100010111010001111110010101
question 011000110010001101001011111000010100000010110
making 10010011100010000001101001100101011000001000111010
office 101111110111111110100101110010100100011010010001001011101001011
full 10010100100111111100110111101001001010100110101000000110110010101001000011111001010000
brought 101111101000001011100010001100101011011101001110101010110001011001011001101110101101
miss 0111001011000001101111011100001000011111101101110111010111
mother 011100101100000110111101110000100001111110110111011101010
whose 100101001111101111000001000001111111001110011000110001111110010100010
individual 100101110000000011110110000010001110000010001111010
special 1011000000101010010111111010001011100111011000100
heard 00010011101001000000010110001010000111111001101001
major 1001011110010111101001001000111000111001111101000010010101110100
ago 1011110010011001101111110101001011100
became 10111111000100000011100111111101101000110010
child 1001010010010010101110001110110111011000111100000100111010010010010111111111
moment 011100111111110101000111000000111000101001011001110110010001110
study 1011000011011111100110111000010101010110011001100000011001110
woman 101100101101100101010111111011111011
available 100101001001111100101010100101001110010111100111100100011110011111110001100100010000100101
federal 100101001001111111001101111010010010101001101010000001101100101010010000110000111011111000
problems 100101111001011110100100100011100011100111110100001001010111011
result 100101001001100010111011110100100011111110011110110010101000111000010110100100011101100110001111010010001101101001111000
street 01011101011011000110111000110000101110000010001111001
economic 1001010011111110101100110010001111100101001100110001110111101100101101001101101111100101
wife 011100010100000101001
department 1001010010011111110011011110100100101010011010100000011011001010100100001100001110111111
position 100100000110111001100100011001001111000100000110010110
reason 100100000110111001100100011001001111000100000110010111
change 10010000011011100110010001100100111100010000011001010
south 100101001110010101101001000000011000100101100100001011010101101111110000110001001101011000101111100111011010001101011001001
board 10010101101110100011000110111110110111101101011001111000110010011111111010110
job 1000000010110100110110001110111100101011101101110000
am 0001001101001010110010000
society 1001010011101111010110101101110000001111001010011101010101101110100001011101001
areas 1101011100010000010000001100001001110100111000110010
west 10010100111001010110100100000001100010010110010000101101010110111111000011000100110101100010111110011101101000110101100101
close 10111111111001000100111011101011110101110111
century 10010100011101011111001110111101001001000110001001101111010
turn 010111010111000001000110100101100010100011010000011111011001
community 10010100100111110010101010010100111001011110011110010001111001111111000110010001000010011
love 1001001100100111110101110011100010110100001111101100001001110011010000000000100011
true 1001001100100111110101110011100010110100001111101100001001110011010000000000100010
court 10010100100111111100110111101001001010100110101000000110110010101001000011000011101111101
force 100110110110100100011110010011010001010010100100010101010011111001111011000100010111010001111110010100
girl 10110001111000000100101000011100010011011110101111
class 1001010010011000010010101011011111010100010100011000111110001111100000110101000011000011011001010101000100001
cost 100101001001100001001010101101111101010001010001100011111000111110000011010100001100001101100101010100010001
seem 100100011001111000001000010110111010001101111101001100001101010110000110101
age 1011000011011111100110111000010101010110011001100000011001111
future 10010100010000010010100101110011100110001101010101100111100111100110
short 10110000001010100101111110100010111001110110000
town 1011000000101010010111111010001011100111011000101
voice 101100011110000001001010000111000100110111101011101
wanted 0001001101100101011100001110111
b 100101100110011110111000010000101000101100101101110100000111111001011011110001110110000011010011011000011100100
center 101100000010101001011111101000101110011101100011
university 10010101101110100011000110111110110111101101011001111000110010011111111011
common 10010001100111100000100001011011101000110111110100110000110101011000011011
control 0101100011110111000111100001010011111011100101110
necessary 10010100100111111100110111101001001010100110101000000110110010101001000011000110110110
policy 100101001001111111001101111010010010101001101010000001101100101010010000110000111011110
women 1011001010110010001101101
father 01110010110000011011110111000010000111111011011101110100
following 10010111011001110000001101101001000100101001111001011011111000010111101100
front 01011101010010000100100111010010000111010000100010110011100010001
sometimes 1001001100111110101101111000110100011111010000110110001110100001111111
clear 100101001001111111000100111110100001111101001000100010001101010
further 10010111011001110000001101101001000100101001111001011011111000010111101101
land 10010100100101011100000111100010101110000100111100111100110001110011000010
six 101111001001100110111111010100101111
able 10000010011101001101010111101010111000011010
america 100101001001111111001101111010010010101001101010000001101100101010010000110001101100
feel 0001001001010110010011010010001100001001
music 100100110111011010000011000110111110111110100011100101000100010101000110110001110111001011101011001100000011101010000001010000
party 100101001111101111000001000001111111001110011000110001111110010100011
provide 10010100100110011001001101001110100100111010110111011110101010000101
education 100101011011101000110001101111101101111011010110011110001100100111111110100
effect 10010111000000001111011000001000111000001000111001
level 01000000110011101000011101100000111000011001010011111010100110011000010110
run 0101110100010010001010010111000101101111100101010100000111011010101101000
students 1001010110111010001100011011111011011110110101100111100011001001111111101010
hard 10010101101110100011000110111110110111101101011001111011000010000
stood 01011101011001101001100101010010100001100111001100
military 1001010011101111010110101101110000001111001010011101010101101110100001011101011110
morning 10111111111001000100111011100101001
total 1001010010011000010010101011011111010100010100011000111110001111100000110101000011000011011001010101000101
outside 0101011001011111111010010010011010010011101111000100110010100110101110110100110101
surface 10011011011010010001111001001101000101001010010001010101001111100111101100010001011101000111111001011
figure 1011000111100000010010100001110001001101111010110
rate 10010100100110001011101111010010001111111001111011001010100011100001011010010001110110011000111101001000110110100111101
art 100100110111011010000011000110111110111110100011100101000100010101000110110001110111001011101011001100000011101010000001010001
north 1001010011100101011010010000000110001001011001000010110101011011111100001100010011010110001011111001110110100011010110011
usually 0101011001011111111010010010011010010011101111000100110010100110101110110100110100
washington 10111111011111111010010111001010010001101001000100101110100100
leave 100001101001000101110001110101
plan 10010100100111111100110111101001001010100110101000000110110010101001000011000011101110
evidence 1001011101100111000000110110100100010010100111100101101111100001011110111
million 10111111111001000100111011101011110101101
sound 0101111101110100001001011011011001010101011011010010011110010011110001010
therefore 100101110000000011110110000010001110000010001110111
third 1011110001110000001
top 0100010110101001000100011111001101111001011010010111010011100111101011
black 01011111110010000011001011100101011111001100011101110101011011100011111110011
strong 010011011101011110110101001110000100010111111101110000100101011000
e 1001011001100111101110000100001010001011001011011101000001111110010110111100011101100000111
tax 1001010010011111110011011110100100101010011010100000011011001010100100001100001110110
various 101100001101111110011011100001010101011001100110000001100110
believe 10010001010000100011110101001110110100000101010011000110100111110111
play 100101001001111110001111000110001010110010110010001000000010101011001001101001011
type 10010100100110000100101010110111110101000101000110001111100011111000001101010000110000110110010101010001001
value 100101110000000011110110000010001110000010001110110
brown 10100100011111011101110010110001101100001101010011110111000110110111101010101
mean 10110000110111111001101110000101010101100110011000000110010
range 1010011101000010101001100010000110001100110101000101000110001111101101001010011010100110
says 1001001101011001101010110011001010101001101100111001000101111011111001101010
soon 1010100011110000000110100011101011101001001001100000110000101001
lines 100101100110011110111000010000101000101100101101110100000111111001011011110001110110000011010011011000011100101000110100
modern 10010100100111110110001110101101101011000010111111100011001011111011100101
near 1011000000101010010111111010001011100111011001
peace 10010100111000000100110001001111110001000100010011000110100000
table 0100010110101001000100011111001101111001011010010111010011100111101010
book 1001001101011001101010110011001010101001101100111001000101111011111001101011
p 100101100110011110111000010000101000101100101101110100000111111001011011110001110110000011010011011000010
red 0101111111001000001100101110010101111100110001110111010101101110001111111000
road 010111010001001000101001011100010110111110010101010000011101101010110101
minutes 10111100100110011011111101010010101
personal 10010111000000001111011000001000111000001000111100
process 100101001111111010110011001000111110010100110011000111011110110010110100110110111110011
situation 1001010001000001001010010111001110011000110101010110011110011110010
alone 100001101001000101110001110100
english 1001010001110101111100111011110100100100011000100110111100
gone 01110010111100010100
idea 100100101001001000110100111011010111101010101010000110001110001001011001110001
increase 1001010010011000101110111101001000111111100111101100101010001110000101101001000111011001100011110100100011011010011111
nor 100001111000110
schools 1001010110111010001100011011111011011110110101100111100011001001111111100
started 10111001010000111001011010100110
living 010111010100100001001001110100100001110100001000101100111000101
longer 011110100
cut 01000110110111011101100101001110101001110110101010110010001111011
finally 01100011001000110100101111100001010000001010
nature 100100110010011111010111001110001011010000111110110000100111001101000000000010000
private 1001010010011111101001010100010001001110001111101110010001111001111100110100010111
secretary 10010100100111111100110111101001001010100110101000000110110010101001000011000110111
months 10111100100110011011111101010010110
call 10100100011111011101110010110001101100001101010011110111000110110111101010100
greater 1000001101100010000101000
section 1001010010011111110011011110100100101010011010100000011011001010100100001100011011010
expected 10010100111010111010110000001111111011010011111010101111001000001100110011010
fire 010001011010100100010001111100110111100101101001011101001110011110100
needed 100101001001001010111000111011011101100011110000010011101001001001011111110
ground 0100000011001110100001110110000011100001100101001111101010011001100001010
kept 10010100100111111100110111101001001010100110101000000110110010101001000011111001010001
values 10010111000000001111011000001000111000001000111010
view 100100000011111111000001011100000010010001111000
dark 010111110111010000100101101101100101010101101101001001111001001111000100
everything 111010000010010011001000111111101110
pressure 1001101101101001000111100100110100010100101001000101010100111110011110110001000101110100011111100100
basis 010010001011
industry 100101001110101110101100000011111110110100111110101011110010000011001100111
space 1001011001100111101110000100001010001011001011011101000001111110010110111100011101100000110100110110000111001010001100
east 100101001110010101101001000000011000100101100100001011010101101111110000110001001101011000101111100111011010001101011000
spirit 1001000101000010001111010100111011010000010101001100011010011111010
complete 100101001001100010111011110100100011111110011110110010101000111000010110100100011101100110001111010010001101101001110
except 01110111110010101111111101000011010001001
moved 1011100101000011100101101010010
required 10010100100111110110001110101101101011000010111111100011001011111011100100
union 10010100111010111010110000001111111011010011111010101111001000001100110011011
wrote 100100110101100110101011001100101010100110110011100100010111101111100110100
conditions 1001010010011111011000111010110110101100001011111110001100101111101110011
return 100101001001100001001010101101111101010001010001100011111000111110000011010100001100001101100101010100011
support 10010100111110111100000100000111111100111001100011000111111001010000
particular 1001011011101110000101001010100011111010101110101110010111010000010
recent 1001101100010101111001000100001100011100000110000110110100101010101101010111111
attention 10010111100101111010010010001110001110011111010000100101011100
late 10010100011101011111001110111101001001000110001001101110
hope 10010011010110011010101100110010101010011011001110010001011110111110011011
live 1000010101100110001011110110100100000000010110100111000
costs 10010100100110000100101010110111110101000101000110001111100011111000001101010000110000110110010101010000
else 0111011111001010111111110100001101000101
nation 10010100111000000100110001001111110001000100010011000110101
beyond 0001000000011000001111111000
forces 100101001110111101011010110111000000111100101001110101010110111010000101110101110
material 100110110110100100011110010011010001010010100100010101010011111001111011000100010111010001111110011
nations 100101001110000001001100010011111100010001000100110001101000010
stage 10010110011001111011100001000010100010110010110111010000011111100101101111000111011000001101001101100001110010100011011
taking 01010100010101010111100010110011111010000111111110011010101011110
coming 01011111011101000010010110110110010101010110110100100111100100111100011
dead 01001101110101111011010100111000010001011111110111000010010101101
inside 010101100101111111101001001001101001001110111100010011001010011010111011010011011
person 1001010010011111110011011110100100101010011010100000011011001010100100001100011010
read 101101110111010011000010110001111100101001100110110
report 1001010011101011101011000000111111101101001111101010111100100000110011001100
data 100101101010111001011100010111110101111101110011110011100010100000101
heart 1001000100000101001001011001101000101100001111000101111001
hours 100101000111010111110011101111010010010001100010011011111
instead 10000100000001001010110000000000000000011111001001010101110111111100
looking 01011101001011011110011010001010011101101100001101011010
lost 011101111100101011111111010000110100011
low 10011011011010010001111001001101000101001010010001010101001111100111101100010011010010000110
miles 0101110100101101111001101000101001110110110000110101100
won 101111101000001011100010001100101011011101001110101010110001011001011001101000010
added 10011011011010010001111001001101000101001010010001000001101110110001101111001111000000011100010011011011001
amount 1001010010011111110011011110100100101010011010100000011011001010100100001111100101001
feeling 01110011111111010100011100000011100010100101100111011001000110
followed 10010100100111010001101
makes 100100111000100000011010011001010110000010001111
pay 100101001001111111001101111010010010101001101010000001101100101010010000111110010101
single 10010100111010111010110000001111111011010011111010101111001000001100110010
basic 10010100100110001011101111010010001111111001111011001010100011100001011010010001110110011000111101001000110110100110
cold 1001010011100000010011000100111111000100010001001100011010001
hundred 101111001001100110111111010100100
including 1001010010011000010010101011011111010100010100011000111110001111100000110101000011000011011001010101001
move 101110010100001110010110101000
simply 100101110001110101100011011101010010000111011101100001111
developed 100101001001111101100011101011011010110000101111111000110010111110111000
tried 10000100000001001010110000000000000000011111001001010101110111111101
hold 010000101110001101110110011010111110110101111111110100111110000001110110000110
reached 010000001100111010000111011000001110000110010100111110101001100110000100
research 100101001001111111001101111010010010101001101010000001101100101010010000110001100
committee 1001010011101011101011000000111111101101001111101010111100100000110011000
defense 10010100111011110101101011011100000011110010100111010101011011101000010111010110
earth 10000110010101101101110000000011001001010010010
equipment 10010100100111110110001110101101101011000010111111100011001011111011101
island 100101001001111111001101111010010010101001101010000001101100101010010000110000111010
actually 101000000010000000111000010001111000101111110000000101010
kennedy 10010100111001010110100100000001100010010110010000101101010110111111000011000100110101100010111110011101101000110100
shown 101100011110000001001010000111000100110111101010
central 1011111000101100111100101111010001000001001111011001111011110000000010001
religious 10010100111111101011001100100011111001010011001100011101111011001011010011011011111000
river 10010100111001010110100100000001100010010110010000101101010110111111000011000100110101100010111110011101101000110101101
son 100100010100001000111101010011101101000001010100110001101001111100
beginning 10111001010000111001011010101
getting 000100101111111011111100110011100001111001100
sort 100100101001001000110100111011010111101010101010000110001110001001011001110000
doing 0001001111111001010
received 1011111101111111101001011100101001000110100100010010111010011
rest 1000010000000100101011000000000000000001111100100101010111011111111
terms 100101000100000100101001011100111001100011010101011001111001111000
trying 10000100011000001010011101101000110101010110011011111000000001
care 10000100101100101001001000001010000
especially 1001010011111011110000010000011111110011100110001100011111100101001
friends 1010010001111101110111001011000110110000110101001111011100011011011110101011
indeed 1001001100100111110101110011100010110100001111101100001001110011010000000000101
medical 1001010011101111010110101101110000001111001010011101010101101110100001011101010
picture 10011011011010010001111001001101000101001010010001000001101110110001101111001111000000011100010011011011000
ten 10111100100110011011111101010011
administration 1001010010011111001010101001010011100101111001111001000111100111111100011001000100001000
difficult 10011000011110100101101011110101010001010011011100100000111001111
